epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0417,1.62431,3.90743,2.9026,1.44526,0,0.02,0.12162,0.01165,0.00473,0.00222,0.01351,0.0012,0.00018,3.01569,45.8281,3.07407,1.97357,0,4e-05,4e-05,0.09604
2,57.8965,1.3945,3.0247,2.48297,1.30782,0,0.01222,0.07432,0.00743,0.00216,0,0,0,0,3.50634,27.4504,3.2574,4.29736,0,8.9109e-05,8.9109e-05,0.0910891
3,71.7113,1.47894,2.92002,2.25329,1.36654,0,0.00778,0.0473,0.00536,0.00181,0,0,0,0,3.70555,61.6247,3.49516,5.53502,0,0.000137228,0.000137228,0.0861372
4,85.438,1.54535,2.92354,2.10019,1.41551,0,0.01,0.06081,0.0063,0.00146,0,0,0,0,3.36823,76.5748,3.43208,4.2465,0,0.000184357,0.000184357,0.0811844
5,98.2479,1.44826,2.72619,2.25712,1.38825,0,0.01,0.06081,0.00727,0.00238,0,0,0,0,3.12056,46.9245,3.54946,3.27246,0,0.000230496,0.000230496,0.0762305
6,112.563,1.40535,2.76449,1.87759,1.31748,0,0.01778,0.10811,0.01411,0.00491,0,0,0,0,2.72587,44.2354,3.4852,2.4148,0,0.000275645,0.000275645,0.0712756
7,127.463,1.3444,2.65143,2.06327,1.32228,0,0.03,0.18243,0.04012,0.01754,0.00556,0.03378,0.00294,0.00081,2.35465,19.1582,3.44283,1.69462,0,0.000319804,0.000319804,0.0663198
8,141.892,1.45446,2.68986,1.79078,1.35366,0,0.03111,0.18919,0.04848,0.01831,0.01778,0.10811,0.01203,0.00324,2.33295,12.5494,3.51062,1.67785,0,0.000362973,0.000362973,0.061363
9,156.664,1.43711,2.66316,1.72138,1.34082,0,0.03222,0.19595,0.04084,0.01923,0.01,0.06081,0.01051,0.00175,2.21079,25.8907,3.54994,1.6156,0,0.000405152,0.000405152,0.0564052
10,170.698,1.36111,2.68523,1.57758,1.26699,0,0.03778,0.22973,0.05093,0.02281,0.01,0.06081,0.00605,0.00144,2.20989,28.6798,3.49651,1.53963,0,0.000446341,0.000446341,0.0514463
11,185.011,1.43321,2.48992,1.61802,1.34863,0,0.03889,0.23649,0.06265,0.03009,0.00889,0.05405,0.00587,0.00138,2.17817,30.9492,3.49043,1.54675,0,0.00048654,0.00048654,0.0464865
12,198.444,1.41598,2.53284,1.61153,1.29781,0,0.03889,0.23649,0.08185,0.03703,0.00667,0.04054,0.00471,0.00115,2.09457,23.2993,3.5186,1.4902,0,0.000525749,0.000525749,0.0415257
13,213.525,1.38377,2.5442,1.58794,1.3096,0,0.04111,0.25,0.09821,0.04339,0.01111,0.06757,0.00844,0.00195,2.06226,21.6337,3.47883,1.47193,0,0.000563968,0.000563968,0.036564
14,228.714,1.35076,2.49686,1.54414,1.28988,0,0.04,0.24324,0.11401,0.05185,0.01556,0.09459,0.01238,0.00416,1.99796,16.2378,3.2854,1.42852,0,0.000601197,0.000601197,0.0316012
15,242.158,1.37897,2.55429,1.57107,1.32176,0,0.04778,0.29054,0.13772,0.06495,0.02,0.12162,0.01787,0.00549,1.95018,13.61,3.1309,1.39268,0,0.000637436,0.000637436,0.0266374
16,256.841,1.31771,2.43659,1.69099,1.29231,0,0.34845,0.19876,0.13865,0.07108,0.02,0.12162,0.01486,0.00474,1.8898,13.9183,3.05241,1.33896,0,0.000672685,0.000672685,0.0216727
17,272.187,1.34492,2.41162,1.49269,1.29486,0,0.48626,0.14072,0.15079,0.07771,0.02111,0.12838,0.01569,0.00526,1.87244,13.3772,3.02403,1.37288,0,0.000706944,0.000706944,0.0167069
18,289.47,1.35568,2.50968,1.49318,1.30957,0,0.46924,0.13514,0.13888,0.07708,0.09916,0.06081,0.0321,0.0079,1.82724,10.6883,2.91947,1.34917,0,0.000740213,0.000740213,0.0117402
19,306.063,1.30163,2.31387,1.45673,1.21598,0,0.4368,0.16771,0.14839,0.07686,0.18162,0.08784,0.04865,0.01147,1.84503,7.33688,2.79032,1.31554,0,0.000772492,0.000772492,0.00677249
20,323.261,1.33482,2.43078,1.51426,1.29409,0,0.45697,0.18919,0.16212,0.08039,0.28399,0.13514,0.08263,0.0215,1.85847,5.20855,2.72808,1.3145,0,0.000803781,0.000803781,0.00180378
21,339.594,1.30094,2.37335,1.49406,1.24494,0,0.40875,0.20555,0.15348,0.07829,0.28371,0.14865,0.09996,0.02688,1.90441,4.77336,2.70796,1.32764,0,0.000802,0.000802,0.000802
22,354.689,1.358,2.44915,1.49798,1.25827,0,0.44968,0.2027,0.17509,0.09283,0.28991,0.14189,0.10272,0.03211,1.90333,4.37139,2.57831,1.33826,0,0.0007921,0.0007921,0.0007921
23,370.248,1.25156,2.31793,1.39618,1.21516,0,0.52051,0.2274,0.20493,0.10104,0.33966,0.14865,0.11576,0.03534,1.95645,3.99671,2.44144,1.34184,0,0.0007822,0.0007822,0.0007822
24,385.594,1.27778,2.39433,1.42289,1.24358,0,0.44887,0.24324,0.19907,0.10178,0.25073,0.14189,0.07631,0.02661,1.98954,3.75318,2.37403,1.3588,0,0.0007723,0.0007723,0.0007723
25,401.539,1.32264,2.3895,1.44816,1.29211,0,0.44234,0.22297,0.20797,0.10233,0.25821,0.15541,0.08907,0.03058,2.00481,3.74214,2.33564,1.42416,0,0.0007624,0.0007624,0.0007624
26,418.216,1.28814,2.31295,1.45545,1.26349,0,0.42722,0.24324,0.18507,0.0883,0.27292,0.16216,0.09755,0.02957,2.01723,3.7661,2.34186,1.44447,0,0.0007525,0.0007525,0.0007525
27,434.723,1.29043,2.33064,1.36888,1.26038,0,0.41659,0.21622,0.17424,0.08352,0.29,0.16892,0.09738,0.03193,1.9883,3.84958,2.37764,1.40356,0,0.0007426,0.0007426,0.0007426
28,450.613,1.28644,2.40737,1.35906,1.24825,0,0.38287,0.19703,0.15413,0.07564,0.28652,0.16892,0.10496,0.03366,1.96601,3.93143,2.47605,1.37946,0,0.0007327,0.0007327,0.0007327
29,467.024,1.19843,2.19157,1.33845,1.17761,0,0.4156,0.21622,0.17001,0.08447,0.3212,0.18243,0.12455,0.03972,1.94756,3.7847,2.37111,1.34347,0,0.0007228,0.0007228,0.0007228
30,484.382,1.24301,2.29205,1.36601,1.20086,0,0.43385,0.21622,0.17559,0.08884,0.33192,0.20143,0.14339,0.04129,1.99655,3.79344,2.3716,1.37796,0,0.0007129,0.0007129,0.0007129
31,502.205,1.21409,2.26095,1.37839,1.24471,0,0.38972,0.2027,0.17228,0.08856,0.26674,0.16892,0.11047,0.03844,2.04785,3.85825,2.41226,1.43189,0,0.000703,0.000703,0.000703
32,520.046,1.29496,2.33803,1.39468,1.2781,0,0.43848,0.18919,0.19096,0.09086,0.36563,0.18243,0.1494,0.05034,2.08145,3.738,2.39425,1.45537,0,0.0006931,0.0006931,0.0006931
33,539.151,1.25818,2.31364,1.80645,1.2684,0,0.46457,0.2027,0.19929,0.09699,0.39089,0.18919,0.16276,0.05313,2.02561,3.6293,2.32094,1.42678,0,0.0006832,0.0006832,0.0006832
34,555.556,1.20252,2.14071,1.27185,1.18336,0,0.50049,0.2027,0.20099,0.09618,0.38605,0.18243,0.15825,0.05547,2.02914,3.58774,2.31076,1.43404,0,0.0006733,0.0006733,0.0006733
35,573.415,1.24392,2.23631,1.39541,1.229,0,0.45579,0.19595,0.1932,0.09421,0.40864,0.17568,0.15439,0.05138,2.01628,3.57335,2.32246,1.43418,0,0.0006634,0.0006634,0.0006634
36,590.656,1.23419,2.11331,1.2981,1.19803,0,0.35459,0.20946,0.18254,0.09172,0.30863,0.15541,0.12255,0.04971,1.99421,3.59973,2.20999,1.42944,0,0.0006535,0.0006535,0.0006535
37,608.3,1.27838,2.24358,1.3424,1.27252,0,0.37106,0.20946,0.1919,0.09663,0.31249,0.17568,0.12314,0.04986,1.975,3.60845,2.16061,1.41243,0,0.0006436,0.0006436,0.0006436
38,627.16,1.27762,2.30836,1.37129,1.2566,0,0.38758,0.20946,0.18904,0.08904,0.29448,0.18615,0.12114,0.04716,1.95393,3.64043,2.17092,1.38463,0,0.0006337,0.0006337,0.0006337
39,644.729,1.20202,2.14985,1.27804,1.22219,0,0.39688,0.21622,0.195,0.09945,0.27447,0.17568,0.12057,0.04717,1.93198,3.64303,2.11443,1.38419,0,0.0006238,0.0006238,0.0006238
40,661.808,1.25083,2.31778,1.30262,1.23363,0,0.3873,0.21622,0.18685,0.10344,0.33234,0.19595,0.12856,0.04383,1.83851,3.78102,2.19101,1.3795,0,0.0006139,0.0006139,0.0006139
41,679.292,1.2398,2.24464,1.31283,1.24374,0,0.36815,0.21622,0.19721,0.10787,0.33585,0.2027,0.13433,0.04791,1.83492,3.69136,2.13738,1.37096,0,0.000604,0.000604,0.000604
42,699.362,1.23501,2.19206,1.37576,1.24159,0,0.35635,0.21622,0.19119,0.10138,0.27607,0.18919,0.11811,0.04471,1.83492,3.6494,2.12578,1.38184,0,0.0005941,0.0005941,0.0005941
43,716.994,1.22657,2.22462,1.31789,1.2282,0,0.36184,0.18391,0.18407,0.09761,0.27828,0.18919,0.11473,0.04309,1.8354,3.67201,2.10219,1.3783,0,0.0005842,0.0005842,0.0005842
44,738.362,1.19571,2.20214,1.30249,1.1951,0,0.65801,0.14865,0.19961,0.10842,0.24257,0.16892,0.11775,0.04309,1.81374,3.64772,2.0691,1.35132,0,0.0005743,0.0005743,0.0005743
45,759.546,1.18555,2.34284,1.29605,1.22907,0,0.45178,0.17568,0.21048,0.11132,0.26268,0.15541,0.13513,0.04537,1.82587,3.67387,2.09813,1.35218,0,0.0005644,0.0005644,0.0005644
46,779.507,1.23686,2.13173,1.27231,1.22055,0,0.35441,0.18919,0.21198,0.11225,0.24046,0.16892,0.1405,0.04627,1.84988,3.69986,2.09688,1.35872,0,0.0005545,0.0005545,0.0005545
47,800.671,1.19421,2.0752,1.21932,1.17192,0,0.36317,0.19595,0.20873,0.10565,0.27876,0.17568,0.1474,0.05017,1.86869,3.75766,2.09474,1.36804,0,0.0005446,0.0005446,0.0005446
48,822.426,1.17568,2.14417,1.24811,1.18655,0,0.36244,0.22973,0.21807,0.09829,0.30683,0.16892,0.14853,0.05057,1.88223,3.62406,2.0365,1.36527,0,0.0005347,0.0005347,0.0005347
49,840.938,1.1855,2.16071,1.2339,1.18221,0,0.38877,0.24324,0.22812,0.10519,0.30162,0.19261,0.15536,0.05821,1.88305,3.6539,1.97566,1.37999,0,0.0005248,0.0005248,0.0005248
50,860.602,1.17444,2.05285,1.21416,1.15454,0,0.43173,0.23649,0.24411,0.11863,0.30748,0.22973,0.16727,0.0647,1.89445,3.69053,1.95175,1.3796,0,0.0005149,0.0005149,0.0005149
51,883.773,1.20817,2.23273,1.26572,1.22558,0,0.39234,0.26351,0.23284,0.11891,0.31727,0.21622,0.16997,0.06261,1.89013,3.7193,1.9766,1.37898,0,0.000505,0.000505,0.000505
52,908.074,1.1285,2.0199,1.18333,1.16378,0,0.34007,0.27855,0.22665,0.11314,0.26786,0.21622,0.16369,0.05768,1.86577,3.53538,2.00567,1.36064,0,0.0004951,0.0004951,0.0004951
53,929.378,1.17255,2.12401,1.25968,1.17968,0,0.34034,0.25,0.21071,0.10479,0.2351,0.18919,0.12989,0.04928,1.87213,3.49733,2.08306,1.36287,0,0.0004852,0.0004852,0.0004852
54,954.521,1.19809,2.08781,1.22347,1.2,0,0.35,0.22973,0.20595,0.10196,0.25453,0.17568,0.12578,0.04711,1.86919,3.50193,2.15673,1.34722,0,0.0004753,0.0004753,0.0004753
55,975.464,1.13289,2.1249,1.17161,1.15872,0,0.506,0.19595,0.19673,0.09471,0.41819,0.16216,0.13738,0.04698,1.91711,3.55337,2.24644,1.37084,0,0.0004654,0.0004654,0.0004654
56,999.834,1.1428,2.01449,1.35896,1.1601,0,0.38466,0.22973,0.21222,0.10354,0.29924,0.21622,0.1475,0.05109,1.93983,3.53408,2.24001,1.37452,0,0.0004555,0.0004555,0.0004555
57,1029.59,1.12088,1.96833,1.17252,1.15889,0,0.40493,0.22297,0.21064,0.1017,0.31538,0.22973,0.15478,0.05335,1.93195,3.48835,2.16751,1.36775,0,0.0004456,0.0004456,0.0004456
58,1057.44,1.1702,2.15522,1.17295,1.19344,0,0.45304,0.24067,0.22238,0.10865,0.34799,0.23442,0.17246,0.0579,1.91276,3.44346,2.07048,1.36233,0,0.0004357,0.0004357,0.0004357
59,1085.23,1.15509,2.07254,1.14658,1.18294,0,0.42903,0.26909,0.23228,0.11577,0.33332,0.25,0.18111,0.06207,1.90604,3.40709,1.99042,1.36362,0,0.0004258,0.0004258,0.0004258
60,1113.25,1.17949,2.15711,1.20615,1.20893,0,0.43321,0.26351,0.23388,0.11579,0.34134,0.20946,0.17063,0.06323,1.93519,3.4237,1.94203,1.41184,0,0.0004159,0.0004159,0.0004159
61,1137.78,1.06408,1.8772,1.02944,1.11357,0,0.43001,0.25999,0.21917,0.10974,0.34512,0.2027,0.15352,0.05846,1.96069,3.45438,1.96999,1.43251,0,0.000406,0.000406,0.000406
62,1165.95,1.09228,2.03379,1.0863,1.12282,0,0.39235,0.24324,0.22054,0.11037,0.34875,0.21622,0.1681,0.05908,1.97552,3.44497,1.99406,1.42854,0,0.0003961,0.0003961,0.0003961
63,1197.2,1.12256,1.92158,1.10182,1.15152,0,0.42128,0.24324,0.22006,0.10861,0.34627,0.21622,0.16829,0.06123,1.99306,3.45326,1.99951,1.42381,0,0.0003862,0.0003862,0.0003862
64,1227.11,1.11025,1.90945,1.08412,1.12878,0,0.44655,0.22297,0.23067,0.11412,0.41173,0.21622,0.1788,0.06133,1.97584,3.41089,2.03284,1.39065,0,0.0003763,0.0003763,0.0003763
65,1257.52,1.14591,2.05093,1.124,1.15592,0,0.42946,0.26351,0.26588,0.1267,0.38266,0.23649,0.18238,0.06143,1.951,3.38633,2.01187,1.36847,0,0.0003664,0.0003664,0.0003664
66,1284.27,1.15826,2.05974,1.12226,1.17669,0,0.40297,0.28378,0.26081,0.129,0.334,0.25,0.18046,0.05856,1.94169,3.34663,1.97596,1.36474,0,0.0003565,0.0003565,0.0003565
67,1309.58,1.1608,2.01353,1.10386,1.17422,0,0.39557,0.30405,0.26654,0.13049,0.29723,0.26351,0.18264,0.05961,1.9245,3.30708,1.91521,1.34649,0,0.0003466,0.0003466,0.0003466
68,1344.71,1.013,1.87689,1.00578,1.09338,0,0.37398,0.30405,0.27139,0.1383,0.29087,0.23649,0.17272,0.05671,1.90577,3.29189,1.84926,1.33972,0,0.0003367,0.0003367,0.0003367
69,1373.53,1.10306,1.98131,1.15025,1.13172,0,0.3586,0.31081,0.26043,0.13429,0.2828,0.24512,0.17337,0.05975,1.88278,3.3112,1.85452,1.32869,0,0.0003268,0.0003268,0.0003268
70,1407.46,1.05489,1.9451,1.05584,1.11165,0,0.32309,0.32432,0.24608,0.12161,0.27597,0.27703,0.16618,0.05727,1.88793,3.34727,1.86484,1.3499,0,0.0003169,0.0003169,0.0003169
71,1431.75,1.13376,2.02048,1.10252,1.16174,0,0.38566,0.23649,0.22318,0.11421,0.30753,0.22973,0.15816,0.05658,1.85218,3.40812,1.93664,1.32433,0,0.000307,0.000307,0.000307
72,1463.61,1.09213,2.00581,1.09116,1.15405,0,0.3588,0.25,0.19033,0.1026,0.2791,0.23649,0.14021,0.05228,1.9211,3.6053,2.0969,1.38975,0,0.0002971,0.0002971,0.0002971
73,1492.5,1.06845,1.99528,1.06297,1.12195,0,0.34046,0.25,0.18125,0.10049,0.29115,0.22973,0.13421,0.05034,1.9302,3.67612,2.13929,1.40256,0,0.0002872,0.0002872,0.0002872
74,1523.51,1.09922,1.89955,0.99259,1.14034,0,0.35294,0.25,0.18139,0.10318,0.29306,0.23649,0.14008,0.05216,1.90591,3.66489,2.13287,1.38072,0,0.0002773,0.0002773,0.0002773
75,1550.49,1.06902,1.90327,1.03774,1.12589,0,0.31814,0.25,0.19444,0.10723,0.29235,0.22973,0.14178,0.05207,1.89243,3.64628,2.10602,1.37164,0,0.0002674,0.0002674,0.0002674
76,1580.3,1.04311,1.88358,1.07227,1.12053,0,0.34449,0.28378,0.20988,0.11377,0.30925,0.25676,0.15255,0.05816,1.89019,3.63594,2.09131,1.36045,0,0.0002575,0.0002575,0.0002575
77,1605.15,1.00321,1.85841,0.98976,1.06493,0,0.35481,0.27027,0.21139,0.11546,0.36603,0.22973,0.16062,0.05564,1.89914,3.68057,2.11549,1.35673,0,0.0002476,0.0002476,0.0002476
78,1635.83,1.06276,1.95163,1.0698,1.10678,0,0.37443,0.25676,0.22308,0.11581,0.3767,0.21622,0.16101,0.0545,1.93081,3.73441,2.16328,1.37774,0,0.0002377,0.0002377,0.0002377
79,1663.4,1.11172,1.8911,1.0898,1.14642,0,0.39509,0.23391,0.21461,0.11204,0.3208,0.22297,0.14626,0.0523,1.94962,3.74147,2.20838,1.39414,0,0.0002278,0.0002278,0.0002278
80,1690.6,1.10194,1.899,1.02208,1.12642,0,0.38903,0.25,0.20453,0.10685,0.29611,0.2027,0.1429,0.0509,1.96119,3.68098,2.27042,1.41205,0,0.0002179,0.0002179,0.0002179
81,1723.57,1.05616,1.90242,1.02851,1.11946,0,0.36445,0.23649,0.19959,0.10851,0.31261,0.22297,0.15086,0.04917,1.95494,3.61044,2.27677,1.39769,0,0.000208,0.000208,0.000208
82,1758.23,1.0335,1.81759,0.94959,1.08873,0,0.36637,0.23649,0.19997,0.10733,0.33497,0.21622,0.1508,0.05311,1.93401,3.5649,2.26698,1.38049,0,0.0001981,0.0001981,0.0001981
83,1785.89,1.05502,1.89531,1.02258,1.09861,0,0.37144,0.23649,0.20582,0.10872,0.34808,0.22973,0.15962,0.05342,1.92429,3.55828,2.25824,1.36884,0,0.0001882,0.0001882,0.0001882
84,1822.4,1.04868,1.90753,1.00505,1.11791,0,0.35887,0.24962,0.20762,0.11133,0.32597,0.21622,0.15351,0.05623,1.90899,3.57025,2.25839,1.35082,0,0.0001783,0.0001783,0.0001783
85,1853.08,1.03612,1.79287,0.96689,1.08983,0,0.3587,0.25,0.21342,0.1116,0.3393,0.21515,0.15427,0.05714,1.92709,3.58691,2.26213,1.37195,0,0.0001684,0.0001684,0.0001684
86,1886,1.04184,1.92027,0.98914,1.07916,0,0.37635,0.24324,0.21786,0.11182,0.32534,0.20946,0.15487,0.05621,1.92616,3.61178,2.26927,1.3813,0,0.0001585,0.0001585,0.0001585
87,1917.62,1.05824,1.82822,0.95483,1.11108,0,0.36412,0.23649,0.21971,0.11546,0.30954,0.2027,0.15399,0.05671,1.91357,3.62698,2.29704,1.35685,0,0.0001486,0.0001486,0.0001486
88,1950.18,1.00736,1.80972,0.93558,1.07528,0,0.35381,0.22973,0.21696,0.1142,0.27951,0.2027,0.14793,0.05855,1.93436,3.63997,2.30555,1.37837,0,0.0001387,0.0001387,0.0001387
